Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-Feb-22,CGCL,576.75,579.5,-0.0048,0.025,0.0249,0.4757
10-Feb-22,CGPOWER,172.8,172.1,0.0041,0.0326,0.0326,0.6228
10-Feb-22,CHALET,254.05,258.5,-0.0174,0.0295,0.0294,0.5617
10-Feb-22,CHAMBLFERT,407.45,404.1,0.0083,0.0283,0.0283,0.5407
10-Feb-22,CHAMPION,10,10,0,0,0,0
10-Feb-22,CHEMBOND,196.5,197.1,-0.003,0.0295,0.0295,0.5636
10-Feb-22,CHEMCON,337.8,335.45,0.007,0.0212,0.0212,0.405
10-Feb-22,CHEMFAB,203.75,206.9,-0.0153,0.03,0.0299,0.5712
10-Feb-22,CHEMPLASTS,542,551.05,-0.0166,0.0198,0.0198,0.3783
10-Feb-22,CHENNPETRO,111.6,111.1,0.0045,0.0286,0.0286,0.5464
10-Feb-22,CHITRAKUT,30.4,30.4,0,0,0,0
10-Feb-22,CHOLAFIN,690.75,681.65,0.0133,0.0305,0.0305,0.5827
10-Feb-22,CHOLAHLDNG,679.9,681.75,-0.0027,0.0197,0.0197,0.3764
10-Feb-22,CIGNITITEC,525.3,536.7,-0.0215,0.0261,0.0261,0.4986
10-Feb-22,CINELINE,114.9,116.65,-0.0151,0.0381,0.038,0.726
10-Feb-22,CINEVISTA,13.7,13.9,-0.0145,0.0388,0.0387,0.7394
10-Feb-22,CIPLA,975.05,968.25,0.007,0.0176,0.0176,0.3362
10-Feb-22,CITYGOLD,10,10,0,0,0,0
10-Feb-22,CLEAN,2171.1,2189.8,-0.0086,0.0206,0.0205,0.3917
10-Feb-22,CLEDUCATE,110.95,107.1,0.0353,0.0352,0.0352,0.6725
10-Feb-22,CLNINDIA,486.3,489.6,-0.0068,0.0249,0.0248,0.4738
10-Feb-22,CLSEL,99.6,100.2,-0.006,0.0225,0.0225,0.4299
10-Feb-22,CMICABLES,40.75,40.45,0.0074,0.0369,0.0368,0.7031
10-Feb-22,CMSINFO,268.1,268.4,-0.0011,0.0053,0.0053,0.1013
10-Feb-22,COALINDIA,168.05,168.6,-0.0033,0.0206,0.0205,0.3917
10-Feb-22,COASTCORP,465.7,462.7,0.0065,0.0149,0.0149,0.2847
10-Feb-22,COCHINSHIP,340.85,339.5,0.004,0.0179,0.0179,0.342
10-Feb-22,COFFEEDAY,60.4,61.65,-0.0205,0.0457,0.0456,0.8712
10-Feb-22,COFORGE,4729.5,4763.85,-0.0072,0.028,0.028,0.5349
10-Feb-22,COLPAL,1458.6,1464.95,-0.0043,0.0137,0.0137,0.2617
10-Feb-22,COMPINFO,36.05,35.05,0.0281,0.0439,0.0438,0.8368
10-Feb-22,COMPUSOFT,32.15,30.65,0.0478,0.0363,0.0363,0.6935
10-Feb-22,CONCOR,621.2,616.7,0.0073,0.022,0.022,0.4203
10-Feb-22,CONFIPET,72.7,71.45,0.0173,0.0362,0.0362,0.6916
10-Feb-22,CONSOFINVT,199.7,171.15,0.1543,0.036,0.0375,0.7164
10-Feb-22,CONTROLPR,370.6,372.3,-0.0046,0.0375,0.0374,0.7145
10-Feb-22,CORALFINAC,43,44.65,-0.0377,0.0384,0.0384,0.7336
10-Feb-22,CORDSCABLE,64.5,62.75,0.0275,0.0318,0.0318,0.6075
10-Feb-22,COROMANDEL,807.75,800.7,0.0088,0.0179,0.0179,0.342
10-Feb-22,COSMOFILMS,1772.1,1696.95,0.0433,0.032,0.0321,0.6133
10-Feb-22,COUNCODOS,6.2,5.95,0.0412,0.0458,0.0458,0.875
10-Feb-22,COX&KINGS,1.65,1.8,-0.087,0.0363,0.0367,0.7012
10-Feb-22,CPSEETF,32.75,32.4,0.0107,0.0149,0.0149,0.2847
10-Feb-22,CRAFTSMAN,2082.35,2059.65,0.011,0.0181,0.0181,0.3458
10-Feb-22,CREATIVE,635.1,615.75,0.0309,0.035,0.035,0.6687
10-Feb-22,CREATIVEYE,4.2,4.4,-0.0465,0.0494,0.0493,0.9419
10-Feb-22,CREDITACC,759.7,757.55,0.0028,0.0298,0.0297,0.5674
10-Feb-22,CREMICA,19.2,19.2,0,0,0,0
10-Feb-22,CREST,163.55,156.7,0.0428,0.0318,0.0319,0.6094
10-Feb-22,CRISIL,2763.25,2728.65,0.0126,0.0221,0.022,0.4203
10-Feb-22,CROMPTON,398.05,406.85,-0.0219,0.0198,0.0198,0.3783
10-Feb-22,CROWN,35.05,36.85,-0.0501,0,0.0035,0.0669
10-Feb-22,CSBBANK,258.6,252,0.0259,0.0239,0.0239,0.4566
10-Feb-22,CTE,75.1,78.4,-0.043,0.0194,0.0196,0.3745
10-Feb-22,CUB,139.9,139.8,0.0007,0.0212,0.0211,0.4031
10-Feb-22,CUBEXTUB,31.2,32.6,-0.0439,0.0382,0.0382,0.7298
10-Feb-22,CUMMINSIND,930.2,932.2,-0.0021,0.0201,0.0201,0.384
10-Feb-22,CUPID,221.65,223.85,-0.0099,0.0249,0.0248,0.4738
